Season,Name,Team,W,L,ERA,GS,CG,ShO,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,SO,y
2013,Mike Leake,Reds,14,7,3.37,31,0,0,192.1,801,193,78,72,21,48,4,6,2,122,0
2012,Madison Bumgarner,Giants,16,11,3.37,32,2,1,208.1,849,183,87,78,23,49,6,7,3,191,0
2015,Michael Wacha,Cardinals,17,7,3.37,30,0,0,181.1,762,162,74,68,19,58,4,6,4,153,0
2015,Francisco Liriano,Pirates,12,7,3.38,31,0,0,186.2,773,155,75,70,15,70,1,5,10,205,0
2014,Francisco Liriano,Pirates,7,10,3.38,29,0,0,162.1,691,130,68,61,13,81,3,4,12,175,0
2007,Cole Hamels,Phillies,15,5,3.39,28,2,0,183.1,743,163,72,69,25,43,4,3,5,177,0
2010,Hiroki Kuroda,Dodgers,11,13,3.39,31,0,0,196.1,810,180,87,74,15,48,13,5,12,159,0
2011,Kyle Lohse,Cardinals,14,8,3.39,30,1,1,188.1,775,178,80,71,16,42,1,3,1,111,0
2012,Jon Niese,Mets,13,9,3.4,30,0,0,190.1,788,174,77,72,22,49,2,4,6,155,0
2014,Jon Niese,Mets,9,11,3.4,30,0,0,187.2,786,193,80,71,17,45,0,7,3,138,0
2013,Patrick Corbin,Diamondbacks,14,8,3.41,32,3,0,208.1,860,189,81,79,19,54,1,9,13,178,0
2017,Lance Lynn,Cardinals,11,8,3.43,33,0,0,186.1,776,151,80,71,27,78,5,10,2,153,0
2010,Tim Lincecum,Giants,16,10,3.43,33,1,1,212.1,897,194,84,81,18,76,7,5,9,231,0
2014,Alfredo Simon,Reds,15,10,3.44,32,0,0,196.1,818,181,80,75,22,56,7,12,3,127,0
2011,Chris Carpenter,Cardinals,11,9,3.45,34,4,2,237.1,996,243,98,91,16,55,5,6,3,191,0
2016,Bartolo Colon,Mets,15,8,3.45,33,0,0,190.1,786,199,81,73,24,32,2,3,0,127,0
2010,Jon Garland,Padres,14,12,3.47,33,0,0,200,837,176,86,77,20,87,9,6,6,136,0
2013,Jhoulys Chacin,Rockies,14,10,3.47,31,0,0,197.1,816,188,82,76,11,61,3,3,5,126,0
2009,Ubaldo Jimenez,Rockies,15,12,3.47,33,1,0,218,914,183,87,84,13,85,6,10,8,198,0
2011,Mat Latos,Padres,9,14,3.47,31,0,0,194.1,799,168,82,75,16,62,3,1,5,185,0
2012,Mat Latos,Reds,14,4,3.48,33,2,0,209.1,858,179,87,81,25,64,9,4,3,185,0
2016,Kenta Maeda,Dodgers,16,11,3.48,32,0,0,175.2,716,150,72,68,20,50,6,8,6,179,0
2011,Daniel Hudson,Diamondbacks,16,12,3.49,33,3,0,222,921,217,98,86,17,50,1,8,4,169,0
2011,Wandy Rodriguez,Astros,11,11,3.49,30,0,0,191,808,182,81,74,25,69,7,5,5,166,0
