Season,Name,Team,W,L,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR,y
2012,Tommy Hanson,Braves,13,10,31,31,174.2,8.3,3.66,1.39,0.314,0.741,0.398,0.135,4.48,4.57,4.24,0.7,0
2016,Jimmy Nelson,Brewers,8,16,32,32,179.1,7.03,4.32,1.25,0.299,0.713,0.494,0.145,4.62,5.12,4.91,0.6,0
2013,Ian Kennedy,- - -,7,10,31,31,181.1,8.09,3.62,1.34,0.295,0.691,0.382,0.132,4.91,4.59,4.19,0.6,0
2014,Shelby Miller,Cardinals,10,9,31,31,182,6.28,3.56,1.09,0.254,0.765,0.399,0.1,3.76,4.53,4.46,0.6,0
2011,Joe Saunders,Diamondbacks,12,13,33,33,212,4.58,2.84,1.23,0.271,0.777,0.445,0.124,3.69,4.78,4.38,0.5,0
2007,Scott Olsen,Marlins,10,15,33,33,176.2,6.78,4.33,1.48,0.341,0.656,0.376,0.128,5.81,5.33,4.81,0.5,0
2015,Tom Koehler,Marlins,11,14,31,31,184.1,6.49,3.76,1.07,0.283,0.717,0.462,0.111,4.15,4.59,4.64,0.5,0
2015,Rubby de la Rosa,Diamondbacks,14,9,32,32,188.2,7.16,3.01,1.53,0.288,0.73,0.491,0.168,4.67,4.81,4.1,0.5,0
2010,Kyle Kendrick,Phillies,11,10,31,31,177.2,4.15,2.43,1.32,0.284,0.684,0.443,0.11,4.81,4.92,4.64,0.4,0
2016,Brandon Finnegan,Reds,10,11,31,31,172,7.59,4.4,1.52,0.256,0.77,0.381,0.149,3.98,5.19,4.87,0.4,0
2012,Clayton Richard,Padres,14,14,33,33,218.2,4.4,1.73,1.28,0.272,0.714,0.538,0.15,3.99,4.62,4.16,0.4,0
2011,James McDonald,Pirates,9,9,31,31,171,7.47,4.11,1.26,0.302,0.77,0.389,0.11,4.21,4.68,4.46,0.4,0
2007,Livan Hernandez,Diamondbacks,11,11,33,33,204.1,3.96,3.48,1.5,0.303,0.76,0.385,0.118,4.93,5.77,5.37,0.2,0
2010,Dave Bush,Brewers,8,13,31,31,174,5.48,3.36,1.45,0.295,0.698,0.395,0.113,4.55,5.14,4.79,0.1,0
2010,Rodrigo Lopez,Diamondbacks,7,16,33,33,200,5.22,2.52,1.67,0.287,0.683,0.376,0.133,5,5.21,4.5,0.1,0
2014,Eric Stults,Padres,8,17,32,32,176,5.68,2.3,1.33,0.296,0.73,0.433,0.125,4.3,4.63,4.17,0,0
2008,Jeff Suppan,Brewers,10,10,31,31,177.2,4.56,3.39,1.52,0.301,0.712,0.444,0.157,4.96,5.51,4.73,0,0
2009,Braden Looper,Brewers,14,7,34,34,194.2,4.62,2.96,1.8,0.284,0.716,0.464,0.158,5.22,5.74,4.8,-0.5,0
2011,Bronson Arroyo,Reds,9,12,32,32,199,4.88,2.04,2.08,0.278,0.744,0.387,0.159,5.07,5.71,4.54,-1.1,0
