Season,Name,Team,WAR,W,ERA,IP,Strikes,L,FIP,HR,BB/9,y
2009,Adam Wainwright,Cardinals,5.7,19,2.63,233,2319,8,3.11,17,2.55,0
2013,Zack Greinke,Dodgers,3.4,15,2.63,177.2,1777,4,3.23,13,2.33,0
2014,Henderson Alvarez,Marlins,2.1,12,2.65,187,1742,7,3.58,14,1.59,0
2014,Jordan Zimmermann,Nationals,5.3,14,2.66,199.2,2041,5,2.68,13,1.31,0
2012,R.A. Dickey,Mets,5.1,20,2.67,232.2,2304,6,3.22,23,2.09,1
2015,Matt Harvey,Mets,4.4,13,2.71,189.1,1892,8,3.05,18,1.76,0
2014,Zack Greinke,Dodgers,4.3,17,2.71,202.1,2071,8,2.97,19,1.91,0
2010,Roy Oswalt,- - -,4.4,13,2.73,210.2,2146,13,3.28,19,2.35,0
2011,Tim Lincecum,Giants,4,13,2.74,217,2233,14,3.17,15,3.57,0
2016,Madison Bumgarner,Giants,4.9,15,2.74,226.2,2369,9,3.24,26,2.14,0
2014,Lance Lynn,Cardinals,3.4,15,2.74,203.2,2161,10,3.35,13,3.18,0
2011,Cole Hamels,Phillies,4.9,14,2.75,213,2031,9,3,18,1.86,0
2015,John Lackey,Cardinals,3.6,13,2.77,218,2139,10,3.57,21,2.19,0
2013,Madison Bumgarner,Giants,3.8,13,2.77,201.1,2046,9,3.05,15,2.77,0
2011,Ryan Vogelsong,Giants,2,13,2.78,175,1821,7,3.72,15,3.14,0
2012,Johnny Cueto,Reds,4.7,19,2.78,217,2233,9,3.27,15,2.03,0
2016,Johnny Cueto,Giants,5.5,18,2.79,219.2,2189,5,2.96,15,1.84,0
2012,Matt Cain,Giants,3.7,16,2.79,219.1,2186,5,3.4,21,2.09,0
2015,Max Scherzer,Nationals,6.4,14,2.79,228.2,2380,12,2.77,27,1.34,0
2014,Tyson Ross,Padres,3.2,13,2.81,195.2,1946,14,3.24,13,3.31,0
2010,Tim Hudson,Braves,2.1,17,2.83,228.2,2070,9,4.09,20,2.91,0
2008,Jake Peavy,Padres,3.6,10,2.85,173.2,1814,11,3.6,17,3.06,0
2014,Tanner Roark,Nationals,3.2,15,2.85,198.2,1951,10,3.47,16,1.77,0
2010,R.A. Dickey,Mets,2.7,11,2.86,173.1,1713,9,3.64,13,2.13,0
2012,Kyle Lohse,Cardinals,3.6,16,2.86,211,2101,3,3.51,19,1.62,0
2016,Tanner Roark,Nationals,3.2,16,2.86,207.2,2072,10,3.82,17,3.16,0
2016,Jose Fernandez,Marlins,6.2,16,2.86,182.1,1916,8,2.3,13,2.71,0
2013,Cliff Lee,Phillies,5.5,14,2.87,222.2,2304,8,2.82,22,1.29,0
2009,Javier Vazquez,Braves,6.5,15,2.87,219.1,2207,10,2.77,20,1.81,0
2011,Ian Kennedy,Diamondbacks,4.8,21,2.88,222,2279,4,3.22,19,2.23,0
2010,Ubaldo Jimenez,Rockies,5.9,19,2.88,221.2,2176,8,3.1,10,3.74,0
2011,Matt Cain,Giants,5,12,2.88,221.2,2250,11,2.91,9,2.56,0
2012,Gio Gonzalez,Nationals,5,21,2.89,199.1,1984,8,2.82,9,3.43,0
2014,Julio Teheran,Braves,3.2,14,2.89,221,2159,13,3.49,22,2.08,0
2009,Matt Cain,Giants,3.4,14,2.89,217.2,2220,8,3.89,22,3.02,0
2010,Clayton Kershaw,Dodgers,4.7,13,2.91,204.1,2135,10,3.12,13,3.57,0
2010,Mat Latos,Padres,4.3,14,2.92,184.2,1934,10,3,16,2.44,0
2015,Madison Bumgarner,Giants,5.2,18,2.93,218.1,2210,9,2.87,21,1.61,0
2013,Adam Wainwright,Cardinals,6.6,19,2.94,241.2,2384,9,2.55,15,1.3,0
